[64.592s][info][gc,metaspace   ] GC(22) Metaspace: 4969K->4969K(1056768K)
[64.592s][info][gc             ] GC(22) Pause Young (G1 Evacuation Pause) 33M->16M(40M) 3.769ms
[64.592s][info][gc,cpu         ] GC(22) User=0.03s Sys=0.00s Real=0.00s
[77.580s][info][gc,start       ] GC(23) Pause Young (G1 Evacuation Pause)
[77.581s][info][gc,task        ] GC(23) Using 4 workers of 4 for evacuation
[77.584s][info][gc,phases      ] GC(23)   Pre Evacuate Collection Set: 0.0ms
[77.585s][info][gc,phases      ] GC(23)   Evacuate Collection Set: 3.4ms
[77.585s][info][gc,phases      ] GC(23)   Post Evacuate Collection Set: 0.2ms
[77.585s][info][gc,phases      ] GC(23)   Other: 0.6ms
[77.585s][info][gc,heap        ] GC(23) Eden regions: 19->0(18)
[77.585s][info][gc,heap        ] GC(23) Survivor regions: 1->2(3)
[77.585s][info][gc,heap        ] GC(23) Old regions: 18->18
[77.585s][info][gc,heap        ] GC(23) Humongous regions: 0->0
[77.585s][info][gc,metaspace   ] GC(23) Metaspace: 4969K->4969K(1056768K)
[77.585s][info][gc             ] GC(23) Pause Young (G1 Evacuation Pause) 35M->18M(40M) 4.561ms
[77.585s][info][gc,cpu         ] GC(23) User=0.00s Sys=0.00s Real=0.01s
[88.744s][info][gc,start       ] GC(24) Pause Young (G1 Evacuation Pause)
[88.744s][info][gc,task        ] GC(24) Using 4 workers of 4 for evacuation
[88.747s][info][gc,phases      ] GC(24)   Pre Evacuate Collection Set: 0.0ms
[88.747s][info][gc,phases      ] GC(24)   Evacuate Collection Set: 2.1ms
[88.747s][info][gc,phases      ] GC(24)   Post Evacuate Collection Set: 0.1ms
[88.747s][info][gc,phases      ] GC(24)   Other: 0.4ms
[88.747s][info][gc,heap        ] GC(24) Eden regions: 18->0(19)
[88.747s][info][gc,heap        ] GC(24) Survivor regions: 2->1(3)
[88.747s][info][gc,heap        ] GC(24) Old regions: 18->18
[88.747s][info][gc,heap        ] GC(24) Humongous regions: 0->0
[88.747s][info][gc,metaspace   ] GC(24) Metaspace: 4969K->4969K(1056768K)
[88.747s][info][gc             ] GC(24) Pause Young (G1 Evacuation Pause) 36M->17M(40M) 2.980ms
[88.747s][info][gc,cpu         ] GC(24) User=0.00s Sys=0.00s Real=0.00s
[97.488s][info][gc,start       ] GC(25) Pause Young (G1 Evacuation Pause)
[97.488s][info][gc,task        ] GC(25) Using 4 workers of 4 for evacuation
[97.490s][info][gc,phases      ] GC(25)   Pre Evacuate Collection Set: 0.0ms
[97.490s][info][gc,phases      ] GC(25)   Evacuate Collection Set: 1.6ms
[97.490s][info][gc,phases      ] GC(25)   Post Evacuate Collection Set: 0.1ms
[97.490s][info][gc,phases      ] GC(25)   Other: 0.4ms
[97.490s][info][gc,heap        ] GC(25) Eden regions: 19->0(19)
[97.490s][info][gc,heap        ] GC(25) Survivor regions: 1->1(3)
[97.490s][info][gc,heap        ] GC(25) Old regions: 18->18
[97.490s][info][gc,heap        ] GC(25) Humongous regions: 0->0
[97.490s][info][gc,metaspace   ] GC(25) Metaspace: 4969K->4969K(1056768K)
[97.490s][info][gc             ] GC(25) Pause Young (G1 Evacuation Pause) 36M->17M(40M) 2.429ms
[97.491s][info][gc,cpu         ] GC(25) User=0.00s Sys=0.00s Real=0.00s
[108.388s][info][gc,start       ] GC(26) Pause Young (G1 Evacuation Pause)
[108.388s][info][gc,task        ] GC(26) Using 4 workers of 4 for evacuation
[108.390s][info][gc,phases      ] GC(26)   Pre Evacuate Collection Set: 0.0ms
[108.390s][info][gc,phases      ] GC(26)   Evacuate Collection Set: 1.6ms
[108.390s][info][gc,phases      ] GC(26)   Post Evacuate Collection Set: 0.1ms
[108.390s][info][gc,phases      ] GC(26)   Other: 0.4ms
[108.390s][info][gc,heap        ] GC(26) Eden regions: 19->0(19)
[108.390s][info][gc,heap        ] GC(26) Survivor regions: 1->1(3)
[108.390s][info][gc,heap        ] GC(26) Old regions: 18->18
[108.390s][info][gc,heap        ] GC(26) Humongous regions: 0->0
[108.390s][info][gc,metaspace   ] GC(26) Metaspace: 4969K->4969K(1056768K)
[108.390s][info][gc             ] GC(26) Pause Young (G1 Evacuation Pause) 36M->17M(40M) 2.701ms
[108.390s][info][gc,cpu         ] GC(26) User=0.00s Sys=0.00s Real=0.00s
[115.201s][info][gc,start       ] GC(27) Pause Young (G1 Evacuation Pause)
